Country,average_cases
Afghanistan,203
Albania,14
Algeria,97
Andorra,8
Angola,1
Antigua and Barbuda,0
Argentina,257
Armenia,136
Australia,52
Austria,157
Azerbaijan,82
Bahamas,1
Bahrain,148
Bangladesh,779
Barbados,1
Belarus,486
Belgium,461
Belize,0
Benin,3
Bhutan,0
Bolivia,164
Bosnia and Herzegovina,28
Botswana,0
Brazil,7218
Brunei,1
Bulgaria,31
Burkina Faso,9
Burma,3
Burundi,1
Cabo Verde,7
Cambodia,0
Cameroon,88
Canada,715
Central African Republic,21
Chad,9
Chile,1469
China,593
Colombia,430
Comoros,3
Congo (Brazzaville),8
Congo (Kinshasa),47
Costa Rica,14
Cote d'Ivoire,44
Croatia,20
Cuba,24
Cyprus,10
Czechia,95
Denmark,115
Diamond Princess,5
Djibouti,50
Dominica,0
Dominican Republic,202
Ecuador,431
Egypt,321
El Salvador,38
Equatorial Guinea,14
Eritrea,0
Estonia,18
Eswatini,4
Ethiopia,27
Fiji,0
Finland,52
France,1371
Gabon,37
Gambia,0
Georgia,7
Germany,1361
Ghana,113
Greece,28
Grenada,0
Guatemala,91
Guinea,46
Guinea-Bissau,17
Guyana,1
Haiti,45
Holy See,0
Honduras,79
Hungary,40
Iceland,17
India,2064
Indonesia,336
Iran,1560
Iraq,141
Ireland,242
Israel,163
Italy,1772
Jamaica,6
Japan,120
Jordan,8
Kazakhstan,146
Kenya,34
"Korea, South",84
Kosovo,16
Kuwait,310
Kyrgyzstan,24
Laos,0
Latvia,10
Lebanon,12
Lesotho,0
Liberia,4
Libya,4
Liechtenstein,0
Lithuania,16
Luxembourg,38
MS Zaandam,0
Madagascar,13
Malawi,6
Malaysia,59
Maldives,20
Mali,21
Malta,6
Mauritania,14
Mauritius,3
Mexico,1230
Moldova,107
Monaco,0
Mongolia,2
Montenegro,3
Morocco,83
Mozambique,5
Namibia,0
Nepal,31
Netherlands,455
New Zealand,14
Nicaragua,17
Niger,11
Nigeria,132
North Macedonia,31
Norway,80
Oman,173
Pakistan,1052
Panama,190
Papua New Guinea,0
Paraguay,12
Peru,2130
Philippines,177
Poland,278
Portugal,349
Qatar,707
Romania,195
Russia,3706
Rwanda,5
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,6
Sao Tome and Principe,9
Saudi Arabia,1100
Senegal,45
Serbia,122
Seychelles,0
Sierra Leone,14
Singapore,276
Slovakia,15
Slovenia,15
Somalia,27
South Africa,559
South Sudan,23
Spain,1835
Sri Lanka,13
Sudan,72
Suriname,1
Sweden,351
Switzerland,287
Syria,1
Taiwan*,3
Tajikistan,110
Tanzania,5
Thailand,22
Timor-Leste,0
Togo,5
Trinidad and Tobago,1
Tunisia,10
Turkey,1860
US,14087
Uganda,8
Ukraine,287
United Arab Emirates,300
United Kingdom,2192
Uruguay,9
Uzbekistan,51
Venezuela,30
Vietnam,2
West Bank and Gaza,4
Western Sahara,0
Yemen,8
Zambia,13
Zimbabwe,3
