Country,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.0,1.25,1.2,0.0,0.0,1.667,1.571,1.375,0.778,0.0,0.0,0.9,0.0,2.273,0.0,4.917,2.692,2.5,2.733,0.0,3.188,5.353,2.5,5.474,3.85,2.333,2.682,3.957,2.458,3.88,2.385,3.0,2.786,2.586,3.1,3.194,2.812,3.364,2.853,3.057,1.889,2.811,1.868,2.744,3.125,3.512,2.69,3.558,2.477,4.733,3.609,3.234,5.688,4.184,3.5,5.412,4.442,7.0,3.87,3.855,4.571,5.193,7.069,5.525,5.283,4.984,7.323,7.222,6.094,4.662,6.803,9.284,7.838,8.29,8.3,11.592,8.681,8.658,9.446,8.88,8.171,8.623,11.628,9.127,7.325,9.877,9.744,9.976,11.381,7.329,9.674,7.08,6.625,8.135
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.667,0.5,2.2,1.667,0.714,0.5,1.0,0.4,0.364,0.417,0.462,0.429,0.867,0.938,1.118,1.278,1.474,0.6,0.524,0.682,0.478,0.833,0.64,0.692,1.0,1.036,0.966,0.533,0.194,0.531,0.273,0.206,0.486,0.361,0.568,0.211,0.487,0.6,0.512,0.214,0.326,0.5,0.556,0.543,0.617,0.312,0.694,0.28,0.196,0.269,0.302,0.13,0.164,0.125,0.105,0.138,0.288,0.2,0.164,0.129,0.095,0.188,0.062,0.061,0.06,0.265,0.261,0.243,0.183,0.028,0.014,0.203,0.067,0.158,0.104,0.115,0.076,0.312,0.259,0.317,0.277,0.274,0.176,0.07,0.241,0.227,0.146,0.167,0.22,0.152,0.183,0.383,0.442
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.6,0.0,2.167,0.0,2.143,1.75,0.0,0.0,2.0,1.6,2.273,2.083,1.538,1.429,1.867,1.688,1.0,3.5,4.0,2.15,2.286,2.364,3.435,2.333,2.36,2.731,3.222,5.214,5.0,5.1,6.419,2.938,2.515,3.441,1.686,3.278,2.919,2.868,2.0,2.575,2.024,2.405,2.419,2.773,3.644,2.826,2.319,2.146,2.184,2.26,2.176,2.577,2.698,2.593,2.709,2.607,3.737,2.966,2.746,2.583,3.164,3.032,3.238,2.703,3.062,3.045,3.03,2.632,2.638,2.714,2.817,2.819,2.753,2.784,2.827,2.579,2.468,2.295,2.532,2.55,2.58,2.524,2.542,2.476,2.047,1.791,1.736,1.67,1.584,1.478,1.396,1.315,1.204,1.255,1.358,1.229,1.289,1.337,1.172
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,9.5,0.0,10.4,10.0,7.286,7.875,6.444,6.9,5.636,6.167,6.231,5.643,4.267,4.625,2.588,2.889,4.0,2.45,3.095,3.318,2.696,2.417,2.28,2.192,2.074,0.0,3.321,2.207,2.3,2.258,0.0,2.906,2.364,2.324,2.114,0.0,2.222,0.0,2.378,2.289,0.0,2.359,0.0,0.0,2.35,0.0,2.341,2.262,2.233,2.159,0.0,2.133,0.0,2.13,2.064,0.0,2.083,2.02,1.96,0.0,0.0,0.0,0.0,0.0,1.941,0.0,0.0,0.0,0.0,1.923,0.0,0.0,0.0,1.906,0.0,0.0,1.889,3.273,1.929,1.789,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333,0.0,0.5,0.0,0.0,0.6,0.0,0.667,0.714,0.0,0.0,0.75,0.0,0.0,0.889,1.0,0.727,0.583,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.0,0.933,0.0,0.0,0.0,0.938,0.882,0.0,0.0,0.0,1.0,1.053,0.0,0.0,1.05,0.0,0.0,1.333,0.0,1.364,0.0,0.0,0.0,1.435,0.0,0.0,0.0,1.458,1.4,0.0,1.577,1.37,1.286,1.483,1.2,0.0,1.194,1.219,1.303,1.147,1.086,0.0,0.0,0.0,0.0,0.0,1.111,1.108,1.026,1.077,1.375
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.167,0.0,0.0,0.0,2.429,0.0,0.0,0.0,2.375,0.0,2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.667,1.75,1.0,0.0,1.667,1.0,0.0,2.375,1.111,1.8,1.636,1.583,1.385,1.786,2.533,2.312,6.765,2.333,4.895,0.0,10.4,8.571,8.818,6.435,7.0,13.08,0.0,15.615,17.0,18.321,0.0,21.241,19.567,19.355,18.531,21.0,0.0,25.294,21.686,21.167,23.216,21.605,20.282,19.55,18.878,18.929,18.209,18.318,21.867,18.804,18.426,16.771,16.408,16.34,16.686,16.077,15.038,15.593,14.455,14.232,14.491,15.19,14.508,15.55,14.066,15.339,14.873,15.281,15.523,14.364,15.493,14.985,13.855,14.229,15.93,16.208,18.37,19.068,18.627,18.632,16.169,16.577,17.696,18.275,17.407,18.146,16.024,14.964,18.788,19.093,18.644,17.42,18.831,16.3,16.692,19.935,20.634
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,1.25,2.2,1.5,3.857,3.375,0.778,3.2,2.0,2.083,2.692,3.0,1.0,1.062,1.529,2.222,4.158,0.9,2.81,2.318,1.739,3.875,2.96,1.346,1.963,0.429,0.724,0.967,1.323,0.531,0.939,1.382,0.771,0.806,1.216,1.289,1.103,1.2,1.073,1.167,1.465,1.659,1.133,1.609,1.745,1.458,1.286,1.2,1.294,2.596,1.566,2.333,2.073,2.179,1.982,2.828,1.746,2.433,2.41,2.242,1.27,2.297,2.785,2.167,2.761,3.529,2.754,5.029,3.085,3.208,4.603,4.365,5.0,4.737,5.883,3.718,4.722,5.538,5.691,3.073,4.289,2.512,6.094,6.0,8.023,6.784,6.157,8.522,2.154,3.815,4.613
Australia,0.0,0.0,2.0,0.333,0.0,0.5,0.8,0.0,1.167,0.0,0.0,1.143,0.0,1.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0,1.0,1.385,1.571,0.8,0.875,0.706,1.222,1.263,1.25,1.429,0.0,4.636,3.478,3.208,4.4,4.038,5.407,5.107,4.828,10.333,16.387,5.094,11.879,10.294,13.6,10.083,14.243,9.842,10.436,5.7,8.122,6.762,5.674,5.682,3.711,3.043,2.723,3.021,2.612,2.74,2.314,0.808,1.245,1.741,1.0,0.929,1.579,1.31,1.22,0.717,0.852,0.597,0.635,0.703,0.723,0.758,0.552,0.779,0.551,0.629,0.592,0.708,0.726,0.743,0.773,0.645,0.636,0.449,0.646,0.488,0.642,0.488,0.47,0.714,0.541,0.453,0.46,0.5,0.382,0.433,0.484,0.37,0.484,0.0,0.606,0.611,0.583,0.619,0.653,0.535,0.55,0.634,0.52,0.544,0.5,0.476,0.491,0.477,0.435,0.477,0.509
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.25,1.6,1.167,0.857,1.375,1.667,1.7,2.455,2.333,2.308,3.857,4.467,3.688,12.059,8.556,10.947,8.05,15.095,14.409,16.087,15.75,17.16,29.654,33.148,29.0,10.621,44.133,24.226,19.281,15.758,24.5,16.143,14.833,11.378,10.474,6.667,6.825,6.073,8.214,7.116,6.932,6.978,5.522,3.021,2.062,3.837,2.26,2.804,2.346,1.491,1.5,0.891,1.446,0.965,1.379,1.22,1.333,1.311,0.839,1.365,0.75,0.815,1.242,0.448,0.618,0.391,0.457,0.521,0.986,0.342,0.838,0.547,0.184,1.065,0.5,0.81,0.675,1.173,0.537,0.361,0.655,0.412,0.628,0.402,0.602,0.225,0.433,0.231,0.402,0.43,0.319,0.347,0.51,0.052,0.296,0.152,0.37,0.406,0.569,0.068,0.663,0.133,0.274
