Country,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.083,0.75,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0.457,0.475,0.0,0.0,0.978,0.388,1.777,0.364,0.309,0.432,0.439,0.26,0.407,0.232,0.3,0.236,0.225,0.242,0.214,0.194,0.209,0.177,0.184,0.15,0.211,0.143,0.194,0.159,0.152,0.132,0.153,0.122,0.171,0.119,0.12,0.147,0.11,0.11,0.129,0.105,0.123,0.094,0.103,0.105,0.102,0.105,0.09,0.092,0.09,0.099,0.087,0.083,0.08,0.092,0.089,0.077
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.083,1.375,0.182,0.083,0.114,0.281,0.049,0.1,0.114,0.1,0.077,0.155,0.077,0.079,0.071,0.068,0.023,0.046,0.065,0.033,0.079,0.033,0.045,0.058,0.04,0.034,0.02,0.012,0.091,0.017,0.024,0.071,0.022,0.045,0.01,0.062,0.032,0.022,0.01,0.037,0.037,0.026,0.022,0.025,0.011,0.047,0.008,0.014,0.027,0.022,0.008,0.024,0.014,0.015,0.023,0.037,0.012,0.014,0.013,0.012,0.032,0.005,0.015,0.015,0.067,0.015,0.014,0.011,0.002,0.007,0.205
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,1.583,0.714,0.568,0.556,0.633,0.448,0.353,1.564,0.376,0.298,0.323,0.301,0.317,0.245,0.254,0.251,0.24,0.253,0.208,0.202,0.205,0.164,0.174,0.189,0.148,0.204,0.153,0.152,0.137,0.154,0.133,0.142,0.132,0.133,0.135,0.116,0.115,0.115,0.115,0.113,0.108,0.111,0.106,0.102,0.101,0.098,0.106,0.09,0.091,0.09,0.094,0.087,0.088,0.082,0.086,0.082,0.081,0.077,0.078,0.078,0.077,0.075,0.073,0.073,0.072,0.069,0.069,0.068
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,12.857,9.398,7.785,6.3,5.507,4.722,4.278,3.819,3.45,3.136,2.953,2.655,2.622,2.482,2.193,2.192,2.016,1.884,1.802,1.725,1.652,1.581,0.0,0.0,1.527,1.522,1.445,0.0,0.0,1.406,1.384,1.316,0.0,0.0,0.0,0.0,1.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.276,1.283,1.201,0.0,0.0,0.0,0.0,1.181,0.0,0.0,1.167,1.131,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.7,0.583,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.222,0.0,0.0,0.267,0.0,0.0,0.263,0.789,0.295,0.27,0.22,0.27,0.254,0.17,0.359,0.099,0.235,0.0,0.0,0.268,0.276,0.226,0.257,0.332,0.0,0.0,0.396,0.366,0.0,0.0,0.381,0.385,0.359,0.396,0.0,0.0,0.396,0.405,0.438,0.369,0.357,0.35,0.34,0.34,0.32,0.321,0.348,0.287,0.29,0.274,0.275,0.272,0.269,0.255,0.245,0.255,0.234,0.236,0.236,0.234,0.219,0.226,0.207,0.22,0.205,0.205,0.2,0.192,0.198,0.187,0.182,0.185,0.186,0.178
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666,0.833,0.2,0.65,0.167,0.033,0.646,0.075,0.114,0.129,0.1,0.026,0.082,0.104,0.097,0.118,0.012,0.18,0.043,0.037,0.107,0.034,0.019,0.061,0.008,0.067,0.05,0.049,0.013,0.06,0.048,0.017,0.032,0.045,0.03,0.024,0.029,0.023,0.028,0.032,0.028,0.016,0.033,0.025,0.019,0.019,0.02,0.022,0.041,0.012,0.029,0.017,0.02,0.017,0.026,0.011,0.025,0.017,0.016,0.009,0.03,0.02,0.012,0.02,0.02,0.012,0.027,0.009,0.015
Australia,0.0,0.0,0.125,0.0,0.0,1.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.958,1.036,0.712,0.498,0.592,0.441,0.715,0.416,0.38,0.371,0.0,0.0,0.391,0.382,0.404,0.342,0.355,0.311,0.297,0.352,0.303,0.234,0.319,0.239,0.248,0.218,0.235,0.202,0.208,0.184,0.209,0.183,0.178,0.178,0.163,0.163,0.161,0.164,0.153,0.155,0.145,0.127,0.186,0.156,0.124,0.131,0.166,0.124,0.125,0.111,0.134,0.107,0.125,0.124,0.115,0.114,0.099,0.145,0.095,0.116,0.1,0.112,0.101,0.099,0.098,0.09,0.094,0.082,0.136,0.082,0.108,0.08,0.085,0.116,0.078,0.078,0.083,0.086,0.071,0.094
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0.267,0.188,0.533,0.25,0.167,0.214,0.116,0.108,0.172,0.105,0.067,0.258,0.05,0.085,0.045,0.11,0.053,0.058,0.049,0.052,0.078,0.048,0.036,0.015,0.16,0.02,0.028,0.028,0.052,0.021,0.029,0.023,0.027,0.018,0.028,0.024,0.036,0.022,0.024,0.025,0.019,0.013,0.015,0.042,0.013,0.027,0.017,0.013,0.02,0.011,0.032,0.012,0.027,0.016,0.02,0.017,0.011,0.028,0.009,0.018,0.025,0.005,0.022,0.009,0.018,0.017,0.029,0.005,0.038,0.009,0.004,0.097,0.006,0.022,0.011,0.023,0.006,0.008,0.024,0.008
