Country,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,max_infection_rate,min_infect_rate
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,20.0,28.571,0.0,0.0,36.364,31.25,23.81,4.545,0.0,0.0,8.333,0.0,40.0,0.0,45.946,11.905,10.638,14.545,0.0,8.333,29.412,2.299,26.582,13.187,2.847,6.02,14.327,4.905,13.239,4.73,8.264,7.102,6.126,8.567,8.722,6.863,8.929,6.667,7.285,2.894,6.325,2.924,6.044,7.143,8.053,5.329,7.656,4.442,10.1,6.838,5.725,10.686,7.024,5.427,8.691,6.565,10.236,4.953,4.799,5.691,6.323,8.383,6.081,5.561,5.033,7.324,6.84,5.451,3.932,5.769,7.592,6.041,100.0,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,80.0,16.667,47.826,30.303,13.158,9.524,17.647,7.273,6.78,7.812,8.571,7.895,14.607,14.423,15.447,15.753,16.092,6.452,5.584,7.075,4.933,8.23,6.178,6.498,8.882,8.709,7.756,4.244,1.567,4.25,2.2,1.683,3.926,2.915,4.497,1.684,3.846,4.633,3.896,1.642,2.491,3.767,4.105,3.943,4.374,2.212,4.775,1.928,1.359,1.867,2.089,0.906,1.151,0.887,0.755,0.996,2.073,1.442,1.188,0.941,0.701,1.382,0.459,0.457,0.455,2.004,1.965,1.822,1.374,0.211,0.105,1.556,100.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,66.667,40.0,58.333,0.0,29.412,0.0,10.526,5.0,0.0,0.0,16.667,7.692,29.73,22.917,11.111,10.0,18.919,14.943,3.333,35.252,30.846,12.609,12.879,12.583,17.711,10.269,9.912,11.155,12.5,18.436,15.466,14.097,15.798,6.395,5.227,7.238,3.065,6.616,5.642,5.395,3.507,4.65,3.48,4.203,4.167,4.762,6.203,4.578,3.614,3.274,3.308,3.402,3.226,3.838,3.962,3.726,3.838,3.617,5.172,3.944,3.563,3.283,4.001,3.744,3.927,3.182,3.57,3.483,3.401,2.883,2.852,2.901,2.975,2.934,2.821,2.815,2.821,2.527,2.386,2.188,100.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,94.872,0.0,26.415,29.333,14.773,22.124,15.038,18.902,12.766,16.071,16.105,13.312,7.784,9.73,1.596,3.59,8.879,2.506,5.794,6.986,4.571,3.67,3.369,3.259,2.995,0.0,5.799,1.238,1.973,2.08,0.0,3.305,1.136,1.262,0.558,0.0,0.83,0.0,1.094,0.949,0.0,0.673,0.0,0.0,0.268,0.0,0.268,0.134,0.267,0.133,0.0,0.133,0.0,0.265,0.132,0.0,0.396,0.263,0.131,0.0,0.0,0.0,0.0,0.0,0.131,100.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,33.333,0.0,0.0,25.0,0.0,20.0,28.571,0.0,0.0,12.5,0.0,0.0,20.0,28.571,12.5,5.882,10.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.846,3.704,0.0,0.0,0.0,10.0,14.286,0.0,0.0,2.778,0.0,0.0,16.279,0.0,4.444,0.0,0.0,0.0,6.25,0.0,0.0,0.0,4.0,3.846,0.0,100.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,57.143,0.0,0.0,0.0,0.0,0.0,0.0,22.222,40.0,0.0,0.0,0.0,21.053,0.0,0.0,0.0,9.524,0.0,8.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,75.0,33.333,0.0,29.412,10.526,0.0,38.71,8.824,24.444,19.643,17.647,13.924,18.557,24.219,18.987,40.602,11.628,22.222,0.0,22.908,14.771,14.638,7.383,9.146,22.201,0.0,6.973,10.435,12.819,0.0,6.628,4.545,5.073,4.457,9.114,0.0,7.796,2.989,3.03,6.795,4.979,3.672,3.227,2.853,3.468,2.969,3.594,8.472,4.769,4.577,2.878,2.773,3.005,3.687,3.229,2.295,3.183,2.133,2.128,2.649,3.61,3.035,4.277,2.857,4.276,3.887,4.343,4.594,3.574,4.613,4.177,3.26,3.62,4.972,5.106,100.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,50.0,55.556,30.769,50.0,33.333,7.143,26.957,15.441,15.0,17.526,17.447,5.622,6.038,8.621,11.854,19.165,4.009,12.033,9.398,6.83,13.876,9.918,4.416,6.326,1.321,2.345,3.178,4.343,1.708,3.102,4.541,2.502,2.624,3.96,4.142,3.497,3.766,3.331,3.585,4.425,4.888,3.283,4.574,4.83,3.952,3.429,3.16,3.364,6.486,3.818,5.499,4.736,4.826,4.276,5.859,3.537,4.787,4.598,4.165,2.329,4.127,4.841,3.679,4.55,5.58,4.226,7.278,4.325,4.363,100.0,0.0
Australia,0.0,0.0,0.0,100.0,20.0,0.0,16.667,33.333,0.0,25.0,0.0,0.0,7.692,0.0,7.143,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,7.407,10.0,23.077,25.0,5.455,8.333,4.762,17.105,16.484,14.953,16.406,0.0,36.0,20.0,15.825,21.22,16.593,20.423,16.593,13.906,26.144,30.859,7.907,17.71,13.536,15.872,10.595,13.654,8.635,8.645,4.343,6.232,4.965,4.015,3.964,2.409,1.898,1.662,1.913,1.604,1.722,1.396,0.19,0.567,0.998,0.388,0.34,0.92,0.7,0.635,0.196,0.331,0.105,0.15,0.225,0.254,0.298,0.104,0.341,0.118,0.207,0.177,0.309,0.337,0.365,0.407,0.276,0.275,0.072,0.303,0.13,0.316,0.143,0.129,0.427,0.227,0.128,0.142,0.198,0.057,0.127,100.0,0.0
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.333,0.0,66.667,35.714,22.222,14.286,27.586,29.268,25.455,30.38,24.038,20.611,28.022,26.016,18.543,40.079,23.053,23.837,15.521,23.574,19.077,18.231,15.704,15.139,21.441,19.937,15.313,5.458,19.12,9.769,7.424,5.883,8.63,5.521,4.958,3.756,3.428,2.181,2.24,2.0,2.706,2.341,2.28,2.294,1.818,0.997,0.684,1.3,0.767,0.967,0.815,0.518,0.529,0.311,0.524,0.348,0.513,0.458,0.508,0.506,0.321,0.54,0.292,0.324,0.509,0.174,0.25,0.154,0.185,0.217,0.432,0.139,0.373,0.239,0.069,0.495,0.225,0.38,0.317,0.568,0.252,0.166,0.319,0.196,100.0,0.0
