Country,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,max_infection_rate,min_infect_rate
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.333,0.0,48.75,40.714,0.0,0.0,39.989,33.546,28.423,23.124,0.0,0.0,21.645,0.0,23.314,0.0,25.2,20.643,19.078,18.066,0.0,17.458,17.671,15.183,15.662,14.209,13.04,12.592,12.405,11.496,11.369,10.605,10.343,9.932,9.556,9.319,9.023,8.683,8.483,8.166,7.951,7.608,7.495,7.208,7.104,6.953,6.806,6.579,6.48,6.26,6.247,6.04,5.888,5.868,5.674,5.528,5.484,5.338,5.306,5.11,5.014,4.941,4.865,4.817,4.696,4.609,4.525,4.489,4.41,4.319,4.23,4.193,4.158,4.074,5.377,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,26.667,4.167,9.565,5.05,1.88,1.19,1.961,0.727,0.616,0.651,0.659,0.564,0.974,0.901,0.909,0.875,0.847,0.323,0.266,0.322,0.214,0.343,0.247,0.25,0.329,0.311,0.267,0.141,0.051,0.133,0.067,0.05,0.112,0.081,0.122,0.044,0.099,0.116,0.095,0.039,0.058,0.086,0.091,0.086,0.093,0.046,0.097,0.039,0.027,0.036,0.039,0.017,0.021,0.016,0.013,0.017,0.035,0.024,0.019,0.015,0.011,0.022,0.007,0.007,0.007,0.029,0.028,0.026,0.019,0.003,0.001,0.021,1.333,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,55.556,35.0,31.667,0.0,31.291,0.0,28.324,24.093,0.0,0.0,23.268,20.044,20.225,17.972,15.681,14.482,14.111,12.981,11.534,12.667,11.768,10.268,9.792,9.333,9.15,8.459,8.106,7.842,7.602,7.542,7.18,6.895,6.727,6.223,5.999,5.882,5.595,5.538,5.362,5.214,5.032,4.935,4.786,4.689,4.579,4.489,4.421,4.29,4.178,4.084,4.001,3.923,3.843,3.78,3.711,3.638,3.574,3.506,3.472,3.391,3.327,3.267,3.225,3.169,3.122,3.061,3.02,2.973,2.928,2.877,2.835,2.795,2.757,2.718,2.679,2.643,2.608,2.569,2.534,2.499,3.706,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,48.718,0.0,44.257,37.368,29.949,27.124,23.323,21.377,18.876,17.579,16.229,14.87,13.51,12.788,11.557,11.026,10.724,9.869,9.556,9.175,8.671,8.273,7.93,7.62,7.328,0.0,7.274,6.866,6.661,6.45,0.0,6.352,6.093,5.918,5.729,0.0,5.593,0.0,5.471,5.323,0.0,5.204,0.0,0.0,5.081,0.0,4.963,4.842,4.732,4.622,0.0,4.522,0.0,4.429,4.332,0.0,4.25,4.161,4.075,0.0,0.0,0.0,0.0,0.0,3.998,5.841,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.667,0.0,20.833,0.0,0.0,21.667,0.0,21.389,19.558,0.0,0.0,18.676,0.0,0.0,18.823,17.798,14.719,12.94,12.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.912,0.0,0.0,0.0,12.318,0.0,0.0,0.0,11.788,11.086,0.0,0.0,0.0,11.026,10.671,0.0,0.0,10.277,0.0,0.0,10.562,0.0,10.284,0.0,0.0,0.0,10.109,0.0,0.0,0.0,9.854,9.454,0.0,12.937,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.556,0.0,0.0,55.952,0.0,0.0,0.0,0.0,0.0,0.0,49.206,43.968,0.0,0.0,0.0,40.695,0.0,0.0,0.0,36.798,0.0,33.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.271,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,43.75,26.667,0.0,27.124,20.551,0.0,22.821,16.965,16.83,14.864,13.459,12.137,11.601,11.205,10.178,10.851,8.638,8.741,0.0,9.449,8.612,8.215,7.542,7.301,7.531,0.0,7.51,7.36,7.182,0.0,7.163,6.855,6.651,6.424,6.37,0.0,6.412,6.092,5.923,5.865,5.663,5.484,5.336,5.197,5.088,4.958,4.859,4.86,4.674,4.57,4.439,4.347,4.264,4.194,4.105,4.01,3.952,3.861,3.792,3.734,3.687,3.614,3.575,3.493,3.46,3.398,3.352,3.305,3.239,3.206,3.153,3.094,3.055,3.031,2.991,4.25,0.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.333,37.5,31.111,21.795,21.429,16.667,11.905,12.696,10.495,9.583,9.04,8.389,7.041,6.627,6.389,6.214,6.272,5.2,5.335,4.973,4.645,4.745,4.397,4.016,3.938,3.619,3.529,3.439,3.366,3.178,3.124,3.075,2.929,2.851,2.81,2.741,2.654,2.594,2.52,2.466,2.428,2.384,2.295,2.273,2.23,2.166,2.111,2.063,2.027,2.048,1.959,1.954,1.904,1.872,1.829,1.825,1.755,1.746,1.715,1.68,1.624,1.627,1.613,1.571,1.56,1.553,1.511,1.533,1.469,1.449,2.74,0.0
Australia,0.0,0.0,50.0,6.667,0.0,9.167,10.667,0.0,13.056,0.0,0.0,12.289,0.0,11.646,10.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.269,9.1,8.558,8.905,8.407,6.543,6.314,5.733,6.1,5.746,5.382,5.195,0.0,6.595,5.613,5.205,5.213,4.834,4.797,4.489,4.242,4.508,4.515,3.656,3.843,3.607,3.571,3.325,3.318,3.098,3.019,2.836,2.813,2.716,2.631,2.57,2.478,2.413,2.357,2.313,2.259,2.216,2.167,2.102,2.069,2.039,1.991,1.954,1.93,1.893,1.86,1.822,1.794,1.761,1.734,1.708,1.682,1.658,1.63,1.609,1.583,1.562,1.539,1.52,1.499,1.479,1.46,1.439,1.42,1.4,1.385,1.365,1.351,1.332,1.316,1.304,1.286,1.27,1.256,1.242,1.226,1.214,2.298,0.0
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,44.444,0.0,50.0,33.809,25.926,21.088,20.115,18.067,15.879,14.883,13.114,11.842,11.525,10.623,9.492,10.201,8.688,8.272,7.443,7.472,6.928,6.59,6.21,5.939,5.953,5.677,5.309,4.786,5.082,4.616,4.399,4.219,4.175,3.967,3.841,3.705,3.599,3.475,3.389,3.301,3.239,3.155,3.082,3.014,2.938,2.858,2.792,2.748,2.682,2.633,2.58,2.525,2.479,2.43,2.39,2.345,2.308,2.268,2.231,2.194,2.156,2.125,2.088,2.056,2.028,1.993,1.964,1.935,1.907,1.881,1.858,1.828,1.807,1.781,1.755,1.738,1.712,1.693,1.671,1.653,1.629,1.608,1.591,1.571,2.713,0.0
